,manure ,defoliation_treading_excreta_fertiliser ,urine,defoliation_treading_excreta ,fertiliser ,treading,aforestattion,excreta,hay cutting_grazing_lime_fertiliser,irrigation ,defoliation,,,,,,,
earthworms,-128.7804878,0,0,-95.16,0,0,0,0,0,0,0,,,,,,,
vegetation diversity ,0,-590.327628,0,-407.1894163,0,0,0,0,-219.57,0,0,,,,,,,
extractable organic N ,0,0,-5.885264,0,0,0,0,0,0,0,0,,,,,,,
soil basification ,0,0,0.05944995,0,0,0,0,0,0,0,0,,,,,,,
soil solution P,0,0,2.38E-11,0,0,0,0,0,0,0,0,,,,,,,
N2O emissions ,0,37.436193,0,13.153257,0,0,0,0,0,0,0,,,,,,,
leaching N,0,0,0,7.741223086,0.287230902,0,0,0,0,0,0,,,,,,,
leaching P,0,0,0,0.000252368,1.71996E-06,0,0,0,0,0,0,,,,,,,
nutrient N,0,0,0,0,-105.55776,0,0,-293.216,0,0,0,,,,,,,
carbon emissions ,0,0,0,7.779618,0,2.47816E-06,0,0,0,0,0,,,,,,,
"organic matter 
",0,0,0,0,-11.56554703,0,0,0,0,0,0,,,,,,,
soil acidification ,0,0,0,0,243.3045333,0,0,0,0,0,0,,,,,,,
soil structure reduction ,0,0,0,0,0,344.1176472,0,0,0,0,0,,,,,,,
nutrient P,0,0,0,0,0,0,0,-33.92648648,0,0,0,,,,,,,
carbon sequestration ,0,0,0,-9.45903E-08,0,0,-561.6,0,0,-1.94695E-06,0,,,,,,,
CH4 sequestration,0,-1.6132608,0,0,0,0,0,0,0,0,0,,,,,,,
runoff ,0,0,0,80.59140932,0,0,0,0,0,0,0,,,,,,,
ant fauna,0,0,0,0,0,0,0,0,0,0,-31.75821886,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
