source,target,value,,,,,,,,,,,,,,,
manure ,earthworms,-128.7804878,,,,,,,,,,,,,,,
defoliation_treading_excreta ,earthworms,-95.16,,,,,,,,,,,,,,,
irrigation ,earthworms,-719.175,,,,,,,,,,,,,,,
defoliation_treading_excreta_fertiliser ,vegetation diversity ,-590.327628,,,,,,,,,,,,,,,
defoliation_treading_excreta ,vegetation diversity ,-407.1894163,,,,,,,,,,,,,,,
hay cutting_grazing_lime_fertiliser,vegetation diversity ,-219.57,,,,,,,,,,,,,,,
urine,extractable organic N ,-5.885264,,,,,,,,,,,,,,,
urine,soil basification ,0.05944995,,,,,,,,,,,,,,,
urine,soil solution P,2.38E-11,,,,,,,,,,,,,,,
defoliation_treading_excreta_fertiliser ,N2O emissions ,37.436193,,,,,,,,,,,,,,,
defoliation_treading_excreta ,N2O emissions ,13.153257,,,,,,,,,,,,,,,
defoliation_treading_excreta ,leaching N,7.741223086,,,,,,,,,,,,,,,
fertiliser ,leaching N,0.287230902,,,,,,,,,,,,,,,
defoliation_treading_excreta ,leaching P,0.000252368,,,,,,,,,,,,,,,
fertiliser ,leaching P,1.71996E-06,,,,,,,,,,,,,,,
fertiliser ,nutrient N,-105.55776,,,,,,,,,,,,,,,
excreta,nutrient N,-293.216,,,,,,,,,,,,,,,
defoliation_treading_excreta ,carbon emissions ,7.779618,,,,,,,,,,,,,,,
treading,carbon emissions ,2.47816E-06,,,,,,,,,,,,,,,
fertiliser ,"organic matter 
",-11.56554703,,,,,,,,,,,,,,,
fertiliser ,soil acidification ,243.3045333,,,,,,,,,,,,,,,
treading,soil structure reduction ,344.1176472,,,,,,,,,,,,,,,
excreta,nutrient P,-33.92648648,,,,,,,,,,,,,,,
defoliation_treading_excreta ,carbon sequestration ,-9.45903E-08,,,,,,,,,,,,,,,
aforestattion,carbon sequestration ,-561.6,,,,,,,,,,,,,,,
irrigation ,carbon sequestration ,-1.94695E-06,,,,,,,,,,,,,,,
defoliation_treading_excreta_fertiliser ,CH4 sequestration,-1.6132608,,,,,,,,,,,,,,,
defoliation_treading_excreta ,runoff ,80.59140932,,,,,,,,,,,,,,,
defoliation,ant fauna,-31.75821886,,,,,,,,,,,,,,,
